Project #,Country,Region,Audience,Data Type,Aim,Taxa,Environment,Start year,End year,Duration,Design,Engagement ,Social media,SM YN,Skills,Contribution frequency,SpeciesID,Guidelines,Training,TrainingYN,Map,Active informing,Feedback,Support ,Number of participants,Number of alien or invasive alien species records,Number of publications
66,Sweden,Northern,Anyone (general public),Species presence and/or abundance,"Mapping of alien species, Monitoring or surveillance, Engagement, Education, Awareness raising",Other,Terrestrial,2016,2018,2,Collaborative,"Newsletters, Social media, Website, Exhibitions, Live training, e.g., courses or workshops, School engagement",Facebook,Yes,Limited,Irregular,Partially,Yes,"Group training, e.g., workshops, courses, etc., Online training",Yes,Request,Partially,Yes,Yes,Not applicable,Not applicable,Not applicable
67,Netherlands,Western,Anyone (general public),Species presence and/or abundance,"Mapping of alien species, Prevention, Monitoring or surveillance, Early warning",Plants,"Freshwater, Terrestrial, Urban",2009,Still running,11,Collaborative,"Newsletters, Social media, Website, Exhibitions, Live training, e.g., courses or workshops","Facebook, Twitter",Yes,Advanced,Regular,Yes,Yes,"Group training, e.g., workshops, courses, etc.",Yes,Yes,Yes,Yes,Yes,101 - 500,100001 - 500000,21 - 50
69,Luxembourg,Western,Other,Species presence and/or abundance,"Mapping of alien species, Monitoring or surveillance",Plants,"Terrestrial, Urban",2017,2018,1,Contributory,"Website, Other",Facebook,Yes,Limited,Irregular,Yes,Yes,None,No,Yes,Partially,Yes,Yes,1 - 50,1 - 50,0
70,Romania,Eastern,"Anyone (general public), Land managers, Scientists","Species presence and/or abundance, Changes in abundance","Prevention, Monitoring or surveillance, Early warning, Effectiveness of management, Engagement, Awareness raising",Plants,"Terrestrial, Urban",2019,Still running,1,,"Social media, Website",Facebook,Yes,Limited,Regular,Partially,Yes,Online training,Yes,Yes,Yes,Yes,Yes,1001 - 2000,501 - 1000,11 to 20
71,Romania,Eastern,Anyone (general public),"Species presence and/or abundance, Collecting lists of species","Mapping of alien species, Education, Fun",All,All,2017,Still running,3,Collaborative,Website,None,No,None,One-off,Partially,Yes,None,No,Yes,Yes,,Yes,1 - 50,1 - 50,Not applicable
72,"Denmark, Iceland, Lithuania, Norway, Poland, United Kingdom","Northern, Eastern, UK&Ireland","Anyone (general public), Scientists","Species presence and/or abundance, Changes in abundance, Collecting lists of species, Early detection, Rate of spread","Mapping of alien species, Monitoring or surveillance, Testing scientific hypothesis",All,Marine,2018,Still running,2,Collaborative,"Live training, e.g., courses or workshops",None,No,Limited,Irregular,Yes,Yes,"BioBlitz, Group training, e.g., workshops, courses, etc.",Yes,Yes,Yes,Yes,Yes,1 - 50,1 - 50,1 to 5
73,"Portugal, Spain",Southern,"Anyone (general public), Fishermen, School students, University students, Scientists","Species presence and/or abundance, Early detection, Rate of spread","Mapping of alien species, Prevention, Monitoring or surveillance, Early warning, Effectiveness of management, Engagement, Education, Awareness raising",All,Freshwater,2018,Still running,2,Contributory,"Newsletters, Social media, Website, Exhibitions, Live training, e.g., courses or workshops, BioBlitzes, School engagement","Facebook, Twitter, YouTube, Instagram",Yes,Limited,Irregular,Yes,Yes,"BioBlitz, Group training, e.g., workshops, courses, etc., Online training",Yes,Yes,Yes,,,Info not available,Info not available,Not applicable
74,Romania,Eastern,Fishermen,"Species presence and/or abundance, Early detection, Rate of spread","Mapping of alien species, Early warning",Molluscs,Freshwater,2019,2019,1,Contributory,Personal interviews,None,No,Advanced,One-off,Yes,No,None,No,Request,Yes,No,No,101 - 500,101 - 500,1 to 5
75,Israel,,"Anyone (general public), Fishermen, University students, Scientists","Species presence and/or abundance, Changes in abundance, Collecting lists of species, Early detection","Mapping of alien species, Monitoring or surveillance, Early warning, Education, Awareness raising",Fish,Marine,2016,Still running,4,Contributory,"Social media, BioBlitzes",Facebook,Yes,Limited,Irregular,Yes,Yes,"BioBlitz, Online training",Yes,No,Yes,Yes,Yes,1001 - 2000,1 - 50,0
76,United Kingdom,UK&Ireland,Anyone (general public),Species presence and/or abundance,Mapping of alien species,Insects,Terrestrial,2011,Still running,9,Contributory,"Website, School engagement",Twitter,Yes,None,One-off,Yes,Yes,None,No,Yes,Partially,Yes,Yes,2001 - 5000,10001 - 50000,1 to 5
77,Czech Republic,Eastern,"Anyone (general public), Scientists, Other",Species presence and/or abundance,Mapping of alien species,Mammals,Terrestrial,2017,Still running,3,Contributory,"Newsletters, Social media, Website, Other",Facebook,Yes,Limited,One-off,Partially,Yes,None,No,Yes,Partially,Yes,Yes,1 - 50,101 - 500,6 to 10
79,Croatia,Eastern,"Anyone (general public), Land managers, Other",Species presence and/or abundance,"Mapping of alien species, Prevention, Other",Plants,Terrestrial,2015,2017,2,Collaborative,"Social media, Website, Live training, e.g., courses or workshops, Other",Facebook,Yes,,,,Yes,Unknown,,Yes,Yes,Yes,Yes,Info not available,Info not available,Unknown
81,"Austria, France, Germany, Italy, Slovenia","Eastern, Southern, Western","Anyone (general public), Land managers, Other","Species presence and/or abundance, Measuring impacts, Evidence of impacts on biodiversity","Mapping of alien species, Monitoring or surveillance, Engagement, Education, Awareness raising, Testing scientific hypothesis, Fun",Plants,"Terrestrial, Urban",2019,Still running,1,,"Social media, Website, Live training, e.g., courses or workshops, School engagement, Gaming","Facebook, Twitter, YouTube, Instagram",Yes,None,One-off,Yes,Yes,"Group training, e.g., workshops, courses, etc., Online training",Yes,Yes,Yes,Yes,Yes,Info not available,Info not available,Unknown
82,Italy,Southern,"Anyone (general public), Fishermen, Scientists","Species presence and/or abundance, Changes in abundance, Collecting lists of species, Measuring impacts, Evidence of impacts on biodiversity, Early detection, Rate of spread, Experimental data","Mapping of alien species, Prevention, Monitoring or surveillance, Early warning, Effectiveness of management, Engagement, Education, Awareness raising, Testing scientific hypothesis",Fish,Marine,2012,Still running,8,Collaborative,"Social media, Website, Live training, e.g., courses or workshops, BioBlitzes","Facebook, Instagram",Yes,Limited,Regular,Yes,Yes,"BioBlitz, Group training, e.g., workshops, courses, etc., Online training",Yes,No,Yes,Yes,Yes,51 - 100,1 - 50,1 to 5
84,Portugal,Southern,Anyone (general public),"Species presence and/or abundance, Early detection, Other","Mapping of alien species, Monitoring or surveillance, Engagement, Education, Awareness raising",Plants,"Freshwater, Terrestrial, Urban",2017,Still running,3,Contributory,"Social media, Website, Live training, e.g., courses or workshops, School engagement","Facebook, Twitter, Instagram",Yes,Limited,Dependent,Yes,Yes,"None, Group training",Yes,Request,Partially,Yes,Yes,51 - 100,Not applicable,Unknown
85,Portugal,Southern,School students,"Changes in abundance, Experimental data","Monitoring or surveillance, Engagement, Education, Awareness raising",Crustaceans,Freshwater,2018,2019,1,Contributory,"Live training, e.g., courses or workshops, School engagement",None,No,Limited,Regular,Yes,Yes,"Group training, e.g., workshops, courses, etc.",Yes,,Yes,Yes,Yes,Not applicable,Not applicable,1 to 5
86,Poland,Eastern,"Anyone (general public), Fishermen, School students, University students, Scientists","Species presence and/or abundance, Changes in abundance, Collecting lists of species, Measuring impacts, Evidence of impacts on biodiversity, Early detection","Mapping of alien species, Prevention, Monitoring or surveillance, Early warning, Effectiveness of management, Engagement, Education, Awareness raising, Testing scientific hypothesis, Fun","Plants, Crustaceans, Molluscs, Fish, Other","Freshwater, Marine, Urban",2019,Still running,1,Collaborative,"Social media, Website, Exhibitions, Live training, e.g., courses or workshops",Facebook,Yes,Limited,Irregular,Yes,Yes,Online training,Yes,Yes,Yes,Yes,Yes,2001 - 5000,101 - 500,6 to 10
88,Greece,Southern,"Anyone (general public), Scientists","Species presence and/or abundance, Rate of spread, Experimental data","Mapping of alien species, Early warning, Effectiveness of management, Testing scientific hypothesis",Crustaceans,Marine,2016,Still running,4,Collaborative,"Newsletters, Social media, Website",Facebook,Yes,None,One-off,Yes,Yes,Online training,Yes,No,Yes,Yes,Yes,1 - 50,1 - 50,0
90,Spain,Southern,School students,"Species presence and/or abundance, Changes in abundance, Collecting lists of species, Evidence of impacts on biodiversity, Experimental data","Mapping of alien species, Monitoring or surveillance, Testing scientific hypothesis",Plants,Terrestrial,2015,Still running,5,Collaborative,"Live training, e.g., courses or workshops, School engagement",None,No,Limited,Regular,Yes,Yes,"Group training, e.g., workshops, courses, etc.",Yes,Yes,Yes,Yes,Yes,51 - 100,51 - 100,0
93,France,Western,Anyone (general public),"Species presence and/or abundance, Changes in abundance, Early detection, Other","Prevention, Monitoring or surveillance, Early warning, Education, Awareness raising","Mammals, Birds, Crustaceans, Insects",All,2017,Unknown,,Contributory,"Newsletters, Website",None,No,None,Irregular,Yes,Yes,None,No,Yes,Yes,,Yes,101 - 500,101 - 500,1 to 5
94,United Kingdom,UK&Ireland,Anyone (general public),"Species presence and/or abundance, Changes in abundance, Evidence of impacts on biodiversity, Rate of spread","Mapping of alien species, Monitoring or surveillance, Engagement, Education, Awareness raising",Insects,"Terrestrial, Urban",2005,Still running,15,Contributory,"Newsletters, Social media, Website, Exhibitions, Live training, e.g., courses or workshops, BioBlitzes, School engagement, Other",Twitter,Yes,None,One-off,Yes,Yes,Online training,Yes,Yes,Yes,Yes,Yes,> 10000,50001 - 100000,21 - 50
95,United Kingdom,UK&Ireland,Anyone (general public),"Species presence and/or abundance, Early detection, Rate of spread","Mapping of alien species, Prevention, Monitoring or surveillance, Early warning, Engagement, Education, Awareness raising","Plants, Mammals, Crustaceans, Insects, Molluscs, Other",All,2010,Still running,10,Contributory,"Newsletters, Website",None,No,None,One-off,Yes,Yes,Online training,Yes,Yes,Partially,No,Yes,1001 - 2000,2001 - 5000,1 to 5
96,"Ireland, United Kingdom",UK&Ireland,Anyone (general public),Species presence and/or abundance,"Mapping of alien species, Monitoring or surveillance, Engagement, Awareness raising",Insects,"Terrestrial, Urban",2008,Still running,12,Contributory,Website,Twitter,Yes,None,One-off,Partially,No,None,No,Yes,Yes,Yes,No,Info not available,50001 - 100000,Not applicable
97,United Kingdom,UK&Ireland,"Anyone (general public), Land managers",Measuring impacts,Monitoring or surveillance,Plants,Terrestrial,2013,2018,5,Contributory,"Newsletters, Social media, Website, Live training, e.g., courses or workshops",Twitter,Yes,Limited,Irregular,Yes,Yes,"Group training, e.g., workshops, courses, etc.",Yes,Yes,Yes,Yes,Yes,1001 - 2000,2001 - 5000,6 to 10
98,United Kingdom,UK&Ireland,Anyone (general public),"Species presence and/or abundance, Early detection","Mapping of alien species, Monitoring or surveillance, Early warning, Awareness raising",Insects,Terrestrial,2017,Still running,3,Contributory,"Newsletters, Social media, Website, Live training, e.g., courses or workshops, BioBlitzes, Other",Twitter,Yes,None,Any,Yes,Yes,"Group training, e.g., workshops, courses, etc.",Yes,Yes,Yes,Yes,Yes,Info not available,1 - 50,6 to 10
99,United Kingdom,UK&Ireland,"Anyone (general public), Other","Species presence and/or abundance, Early detection, Rate of spread","Mapping of alien species, Other",Mammals,Terrestrial,2019,Still running,1,Contributory,"Newsletters, Social media, Website","Facebook, Twitter",Yes,None,Dependent,Partially,Yes,Online training,Yes,Request,Yes,Yes,Yes,Info not available,Info not available,Not applicable
100,France,Western,Anyone (general public),"Species presence and/or abundance, Early detection","Monitoring or surveillance, Early warning, Awareness raising",Insects,"Terrestrial, Urban",2014,Still running,6,Contributory,Website,None,No,None,One-off,Partially,No,None,No,Yes,Partially,Yes,Yes,> 10000,5001 - 10000,0
101,France,Western,Anyone (general public),"Species presence and/or abundance, Measuring impacts, Evidence of impacts on biodiversity","Mapping of alien species, Monitoring or surveillance, Early warning",Birds,"Terrestrial, Urban",2016,Unknown,,Collaborative,Website,Facebook,Yes,None,Irregular,No,No,None,No,Yes,No,Yes,No,501 - 1000,1001 - 2000,0
102,France,Western,Anyone (general public),"Species presence and/or abundance, Measuring impacts, Evidence of impacts on biodiversity, Early detection, Rate of spread, Experimental data","Mapping of alien species, Prevention, Monitoring or surveillance, Early warning, Education, Awareness raising, Testing scientific hypothesis",Insects,"Terrestrial, Urban",2006,Still running,14,Contributory,"Newsletters, Social media, Website, Exhibitions, Gaming","Facebook, Twitter, YouTube",Yes,None,Irregular,Yes,Yes,None,No,Yes,Yes,Yes,Yes,> 10000,10001 - 50000,21 - 50
103,"Bosnia and Herzegovina, Croatia, Serbia, Slovenia",Eastern,Anyone (general public),Unknown,Effectiveness of management,Plants,Freshwater,2018,Still running,2,Collaborative,Unknown,Unknown,,,,,,Unknown,,,,,,Info not available,Info not available,Unknown
104,"Hungary, Serbia",Eastern,Anyone (general public),Unknown,Effectiveness of management,Plants,Terrestrial,2018,2019,1,,Unknown,Unknown,,,,,,Unknown,,,,,,Info not available,Info not available,Unknown
105,Serbia,Eastern,"Fishermen, Land managers, University students, Scientists","Species presence and/or abundance, Changes in abundance, Collecting lists of species, Evidence of impacts on biodiversity","Effectiveness of management, Testing scientific hypothesis, Other",Fish,Freshwater,2018,2019,1,Contributory,BioBlitzes,YouTube,Yes,Advanced,Regular,No,No,None,No,No,Yes,Yes,Yes,1 - 50,10001 - 50000,0
106,"Belarus, Latvia, Lithuania",Eastern,"Anyone (general public), Land managers, School students","Species presence and/or abundance, Collecting lists of species","Engagement, Education, Awareness raising",All,"Freshwater, Terrestrial, Urban",2019,Still running,1,Collaborative,"Social media, Live training, e.g., courses or workshops, School engagement, Gaming","Facebook, YouTube, Instagram",Yes,Limited,Regular,Yes,Yes,"Group training, e.g., workshops, courses, etc., Online training",Yes,,Yes,Yes,Yes,Info not available,Info not available,Unknown
107,United Kingdom,UK&Ireland,Anyone (general public),Species presence and/or abundance,Monitoring or surveillance,Other,"Freshwater, Terrestrial",2007,Still running,13,Collaborative,"Website, Live training, e.g., courses or workshops","Facebook, Twitter",Yes,Limited,Irregular,Yes,Yes,"Group training, e.g., workshops, courses, etc.",Yes,No,Partially,Yes,Yes,51 - 100,Info not available,Unknown
108,United Kingdom,UK&Ireland,Anyone (general public),"Species presence and/or abundance, Changes in abundance, Measuring impacts, Evidence of impacts on biodiversity, Early detection","Mapping of alien species, Prevention, Monitoring or surveillance, Early warning, Effectiveness of management, Engagement, Education, Awareness raising, Testing scientific hypothesis",Mammals,Terrestrial,2008,Still running,12,Collaborative,"Newsletters, Social media, Website, Exhibitions, Live training, e.g., courses or workshops, School engagement","Facebook, Twitter",Yes,Advanced,Regular,Yes,Yes,"Group training, e.g., workshops, courses, etc.",Yes,Request,No,Yes,Yes,2001 - 5000,> 1000001,> 100
109,"Austria, France, Germany, Italy, Switzerland","Southern, Western","Anyone (general public), Land managers, School students, University students, Scientists","Species presence and/or abundance, Changes in abundance, Early detection","Mapping of alien species, Monitoring or surveillance, Early warning, Effectiveness of management, Education",Plants,"Terrestrial, Urban",2013,Still running,7,Contributory,"Newsletters, Website, Live training, e.g., courses or workshops, School engagement",None,No,Limited,Irregular,Partially,Yes,"Group training, e.g., workshops, courses, etc.",Yes,Yes,Partially,Yes,Yes,501 - 1000,500001 - 1000000,Unknown
110,United Kingdom,UK&Ireland,"Anyone (general public), Fishermen","Species presence and/or abundance, Collecting lists of species, Early detection","Mapping of alien species, Monitoring or surveillance, Early warning, Education, Awareness raising",All,Marine,2015,2018,3,Contributory,Website,None,No,Limited,One-off,Yes,No,None,No,Yes,Yes,,Yes,Info not available,101 - 500,Unknown
111,United Kingdom,UK&Ireland,Anyone (general public),Species presence and/or abundance,"Mapping of alien species, Monitoring or surveillance, Engagement, Education, Awareness raising",Plants,"Freshwater, Terrestrial, Urban",2013,Still running,7,Collaborative,"Newsletters, Social media, Website","Facebook, Twitter",Yes,Limited,Irregular,Yes,Yes,None,No,Yes,Yes,No,Yes,5001 - 10000,10001 - 50000,Unknown
112,Belgium,Western,Anyone (general public),"Species presence and/or abundance, Collecting lists of species, Early detection","Prevention, Early warning, Engagement, Education, Awareness raising","Insects, Other","Terrestrial, Other",2019,Still running,1,Contributory,"Website, Exhibitions",None,No,None,Irregular,Yes,Yes,Online training,Yes,,Yes,,Yes,Info not available,Info not available,Unknown
114,United Kingdom,UK&Ireland,Anyone (general public),"Species presence and/or abundance, Early detection","Mapping of alien species, Early warning, Engagement, Education, Awareness raising","Mammals, Crustaceans, Fish, Molluscs",Freshwater,2012,2019,7,Contributory,"Social media, Website",Unknown,,None,One-off,Yes,Yes,None,No,Yes,Yes,Yes,Yes,51 - 100,101 - 500,11 to 20
115,"Ireland, United Kingdom",UK&Ireland,Anyone (general public),Species presence and/or abundance,"Mapping of alien species, Monitoring or surveillance, Engagement, Education, Awareness raising",Other,Terrestrial,2015,2017,2,Contributory,"Newsletters, Social media, Website",Unknown,,None,One-off,Yes,Yes,Online training,Yes,Yes,Yes,Yes,Yes,Info not available,501 - 1000,Unknown
116,United Kingdom,UK&Ireland,"Anyone (general public), Fishermen",Species presence and/or abundance,"Mapping of alien species, Monitoring or surveillance, Early warning, Engagement, Awareness raising",Crustaceans,Freshwater,2011,Still running,9,Contributory,Website,Unknown,,Limited,One-off,Yes,Yes,Online training,Yes,Yes,Partially,,Yes,101 - 500,101 - 500,11 to 20
117,United Kingdom,UK&Ireland,Anyone (general public),Species presence and/or abundance,"Mapping of alien species, Monitoring or surveillance",Other,Terrestrial,2008,2014,6,Contributory,Website,None,No,Limited,One-off,Yes,Yes,None,No,No,,,,501 - 1000,501 - 1000,1 to 5
118,United Kingdom,UK&Ireland,"Anyone (general public), Fishermen, School students","Species presence and/or abundance, Early detection","Prevention, Monitoring or surveillance, Effectiveness of management, Engagement, Education, Awareness raising","Plants, Mammals","Freshwater, Terrestrial",2017,Still running,3,,"Newsletters, Social media, Website, Live training, e.g., courses or workshops, School engagement","Facebook, Twitter, Instagram",Yes,None,Irregular,Yes,Yes,"Group training, e.g., workshops, courses, etc., Online training",Yes,,Partially,,,Info not available,Info not available,Unknown
119,Germany,Western,"School students, University students, Scientists",Species presence and/or abundance,"Monitoring or surveillance, Engagement, Education, Awareness raising",Plants,"Terrestrial, Urban",2014,2016,2,Collaborative,"Social media, Website, Live training, e.g., courses or workshops, School engagement, Other","Facebook, Twitter",Yes,Limited,Irregular,No,Yes,"Group training, e.g., workshops, courses, etc., Other",Yes,Request,Yes,Yes,Yes,1 - 50,1001 - 2000,1 to 5
120,Ireland,UK&Ireland,Anyone (general public),Species presence and/or abundance,"Mapping of alien species, Monitoring or surveillance",Plants,Terrestrial,2016,Still running,4,Collaborative,"Social media, Website, Exhibitions, Other","Facebook, Twitter",Yes,Limited,Any,Yes,Yes,"Group training, e.g., workshops, courses, etc.",Yes,Yes,Yes,Yes,Yes,101 - 500,1001 - 2000,Not applicable
121,Italy,Southern,Anyone (general public),Species presence and/or abundance,"Mapping of alien species, Other",All,All,2014,2017,3,Contributory,"Social media, Website, BioBlitzes, School engagement",Facebook,Yes,None,Any,Yes,Yes,"Group training, e.g., workshops, courses, etc.",Yes,Yes,Yes,,Yes,2001 - 5000,2001 - 5000,Unknown
122,Italy,Southern,Anyone (general public),Species presence and/or abundance,"Mapping of alien species, Monitoring or surveillance",All,All,2016,Still running,4,Contributory,"Social media, Website, BioBlitzes, School engagement","Facebook, Twitter, Instagram",Yes,None,Any,Yes,Yes,"Group training, e.g., workshops, courses, etc.",Yes,,Yes,,,,,Not applicable
123,Italy,Southern,Anyone (general public),Species presence and/or abundance,"Mapping of alien species, Monitoring or surveillance",Crustaceans,Freshwater,2014,Still running,6,Contributory,Website,Facebook,Yes,None,Any,Yes,Yes,None,No,Yes,Yes,Yes,Yes,51 - 100,51 - 100,Not applicable
124,Italy,Southern,Anyone (general public),Species presence and/or abundance,"Prevention, Monitoring or surveillance, Effectiveness of management, Engagement, Education, Awareness raising",Insects,Terrestrial,2017,Still running,3,Contributory,Website,Facebook,Yes,None,Any,Yes,Yes,"Group training, e.g., workshops, courses, etc.",Yes,Yes,Yes,Yes,Yes,,,Unknown
125,Italy,Southern,Anyone (general public),Species presence and/or abundance,"Mapping alien species, Other",Mammals,Terrestrial,2014,2018,4,Contributory,"Social media, website",Facebook,Yes,None,Any,Yes,Yes,Unknown,,Yes,Yes,Yes,Yes,,,Unknown
126,Italy,Southern,Anyone (general public),Species presence and/or abundance,Mapping alien species,Mammals,Terrestrial,2010,2015,5,Contributory,Website,None,No,None,Any,Yes,Yes,Unknown,,No,Yes,Yes,Yes,,,Unknown
127,Italy,Southern,Anyone (general public),Species presence and/or abundance,"Prevention, Monitoring or surveillance,Engagement, Education, Awareness raising",Insects,Terrestrial,2015,2019,4,Contributory,"Social media, website","Faceboo, Twitter",Yes,None,Any,Yes,Yes,"Group training, e.g., workshops, courses, etc.",Yes,No,Yes,Yes,Yes,,,Unknown
128,Germany,Western,Anyone (general public),"Species presence and/or abundance, Experimental data","Mapping of alien species, Prevention, Effectiveness of management, Engagement, Awareness raising, Testing scientific hypotheses",Plants,Terrestrial,2019,Still running,1,Collaborative,"Newsletters, Website, Live training, e.g., courses or workshops, School engagement",None,No,None,Irregular,Partially,Yes,"Group training, e.g., workshops, courses, etc.",Yes,Request,Yes,Yes,Yes,Not applicable,Info not available,0
